Tahun,Kabupaten_Kota,IPM
2019,Sumatera Utara,71.74
2019,Nias,61.65
2019,Mandailing Natal,66.52
2019,Tapanuli Selatan,69.75
2019,Tapanuli Tengah,68.86
2019,Tapanuli Utara,73.33
2019,Toba,74.92
2019,Labuhan Batu,71.94
2019,Asahan,69.92
2019,Simalungun,72.98
2019,Dairi,71.42
2019,Karo,74.25
2019,Deli Serdang,75.43
2019,Langkat,70.76
2019,Nias Selatan,61.59
2019,Humbang Hasundutan,68.83
2019,Pakpak Bharat,67.47
2019,Samosir,70.55
2019,Serdang Bedagai,70.21
2019,Batu Bara,68.35
2019,Padang Lawas Utara,69.29
2019,Padang Lawas,68.16
2019,Labuhanbatu Selatan,71.39
2019,Labuanbatu Utara,71.43
2019,Nias Utara,61.98
2019,Nias Barat,61.14
2019,Sibolga,73.41
2019,Tanjungbalai,68.51
2019,Pematangsiantar,78.57
2019,Tebing Tinggi,75.08
2019,Medan,80.97
2019,Binjai,75.89
2019,Padangsidimpuan,75.06
2019,Gunungsitoli,69.3
2020,Sumatera Utara,71.77
2020,Nias,61.93
2020,Mandailing Natal,66.79
2020,Tapanuli Selatan,70.12
2020,Tapanuli Tengah,69.23
2020,Tapanuli Utara,73.47
2020,Toba,75.16
2020,Labuhan Batu,72.01
2020,Asahan,70.29
2020,Simalungun,73.25
2020,Dairi,71.57
2020,Karo,74.43
2020,Deli Serdang,75.44
2020,Langkat,71.0
2020,Nias Selatan,61.89
2020,Humbang Hasundutan,68.87
2020,Pakpak Bharat,67.59
2020,Samosir,70.63
2020,Serdang Bedagai,70.24
2020,Batu Bara,68.36
2020,Padang Lawas Utara,69.85
2020,Padang Lawas,68.25
2020,Labuhanbatu Selatan,71.4
2020,Labuanbatu Utara,71.61
2020,Nias Utara,62.36
2020,Nias Barat,61.51
2020,Sibolga,73.63
2020,Tanjungbalai,68.65
2020,Pematangsiantar,78.75
2020,Tebing Tinggi,75.17
2020,Medan,80.98
2020,Binjai,75.89
2020,Padangsidimpuan,75.22
2020,Gunungsitoli,69.31
2021,Sumatera Utara,72.0
2021,Nias,62.74
2021,Mandailing Natal,67.19
2021,Tapanuli Selatan,70.33
2021,Tapanuli Tengah,69.61
2021,Tapanuli Utara,73.76
2021,Toba,75.39
2021,Labuhan Batu,72.09
2021,Asahan,70.49
2021,Simalungun,73.4
2021,Dairi,71.84
2021,Karo,74.83
2021,Deli Serdang,75.53
2021,Langkat,71.35
2021,Nias Selatan,62.35
2021,Humbang Hasundutan,69.41
2021,Pakpak Bharat,67.94
2021,Samosir,70.83
2021,Serdang Bedagai,70.56
2021,Batu Bara,68.58
2021,Padang Lawas Utara,70.11
2021,Padang Lawas,68.64
2021,Labuhanbatu Selatan,71.69
2021,Labuanbatu Utara,71.87
2021,Nias Utara,62.82
2021,Nias Barat,61.99
2021,Sibolga,73.94
2021,Tanjungbalai,68.94
2021,Pematangsiantar,79.17
2021,Tebing Tinggi,75.42
2021,Medan,81.21
2021,Binjai,76.01
2021,Padangsidimpuan,75.48
2021,Gunungsitoli,69.61
2022,Sumatera Utara,72.71
2022,Nias,63.69
2022,Mandailing Natal,68.05
2022,Tapanuli Selatan,70.92
2022,Tapanuli Tengah,70.31
2022,Tapanuli Utara,74.14
2022,Toba,75.96
2022,Labuhan Batu,72.92
2022,Asahan,71.13
2022,Simalungun,73.77
2022,Dairi,72.56
2022,Karo,75.36
2022,Deli Serdang,76.19
2022,Langkat,71.86
2022,Nias Selatan,63.17
2022,Humbang Hasundutan,70.32
2022,Pakpak Bharat,68.85
2022,Samosir,71.67
2022,Serdang Bedagai,71.21
2022,Batu Bara,69.51
2022,Padang Lawas Utara,70.93
2022,Padang Lawas,69.58
2022,Labuhanbatu Selatan,72.16
2022,Labuanbatu Utara,72.77
2022,Nias Utara,63.75
2022,Nias Barat,62.93
2022,Sibolga,74.74
2022,Tanjungbalai,69.86
2022,Pematangsiantar,79.7
2022,Tebing Tinggi,76.17
2022,Medan,81.76
2022,Binjai,76.95
2022,Padangsidimpuan,76.05
2022,Gunungsitoli,70.23
2023,Sumatera Utara,67.09
2023,Nias,54.72
2023,Mandailing Natal,60.76
2023,Tapanuli Selatan,64.2
2023,Tapanuli Tengah,64.39
2023,Tapanuli Utara,68.43
2023,Toba,70.9
2023,Labuhan Batu,66.88
2023,Asahan,65.06
2023,Simalungun,68.8
2023,Dairi,65.91
2023,Karo,70.36
2023,Deli Serdang,70.06
2023,Langkat,64.57
2023,Nias Selatan,54.54
2023,Humbang Hasundutan,63.4
2023,Pakpak Bharat,61.76
2023,Samosir,65.14
2023,Serdang Bedagai,64.67
2023,Batu Bara,63.45
2023,Padang Lawas Utara,64.25
2023,Padang Lawas,62.45
2023,Labuhanbatu Selatan,65.32
2023,Labuanbatu Utara,66.72
2023,Nias Utara,
2023,Nias Barat,
2023,Sibolga,68.37
2023,Tanjungbalai,63.47
2023,Pematangsiantar,72.52
2023,Tebing Tinggi,69.96
2023,Medan,77.02
2023,Binjai,70.54
2023,Padangsidimpuan,70.23
2023,Gunungsitoli,
